ï»¿id,bot,flag11
2281292622,0,1
2344040251,0,1
765871267,0,1
4772373433,0,1
1324548560,1,1
2561341789,1,1
347810134,1,1
856303860,1,1
832875000000000000,1,1
88856792,0,1
713557000000000000,1,1
1566746503,0,1
90420314,0,1
184910040,0,1
157690631,0,1
42420346,0,1
42382447,0,1
43993280,0,1
2305236733,1,1
742794000000000000,1,1
31348594,0,1
122085859,0,1
23573083,0,1
43152482,0,1
188857501,0,1
2911272579,0,1
35094637,0,1
146252766,0,1
85430866,0,1
55117855,0,1
827942000000000000,1,1
234837526,0,1
783000000000000000,1,1
2236911966,0,1
238706610,1,1
537915105,1,1
19058681,0,1
2568986838,1,1
3002601144,1,1
515652246,0,1
3411760894,1,1
34507480,0,1
1389883381,0,1
702010302,1,1
91425881,0,1
401790812,0,1
73992972,0,1
256722290,0,1
813286,0,1
5402612,0,1
742143,0,1
328539939,1,1
265430292,0,1
1257568902,1,1
132385468,0,1
211859777,0,1
827983208,0,1
72878717,0,1
28909448,0,1
43091065,0,1
50393960,0,1
807343000000000000,1,1
372561152,0,1
385100876,0,1
14920785,0,1
783048890,0,1
274656070,0,1
3041716769,1,1
2452513406,0,1
2575001119,1,1
845989000000000000,1,1
854348514,1,1
718745000000000000,1,1
2419524854,1,1
1389274284,1,1
705067000000000000,1,1
842061000000000000,1,1
69274980,0,1
116000361,0,1
1281901753,0,1
26436076,0,1
777991000000000000,1,1
350597282,0,1
153029178,0,1
64848375,1,1
165500655,0,1
16409683,0,1
142275422,0,1
21627372,0,1
106219812,0,1
203188566,0,1
100220864,0,1
331370908,0,1
280749815,0,1
1613648400,0,1
1473174745,0,1
456806128,0,1
1068121346,0,1
2893075037,0,1
414311965,0,1
415798356,0,1
17782745,1,1
770626380,0,1
749000000000000000,0,1
459483899,1,1
119509520,0,1
196267596,0,1
852763903,1,1
3433157163,1,1
759251,0,1
428333,0,1
1478891947,1,1
18863815,0,1
94707303,0,1
115485051,0,1
2727212335,1,1
237099368,0,1
3353453309,1,1
2716075003,1,1
3254849422,1,1
155659213,0,1
17822889,0,1
115551858,0,1
2216984384,1,1
1685674562,1,1
20978103,0,1
25521487,0,1
18695035,0,1
456862468,0,1
23976386,0,1
304932002,0,1
132309397,1,1
233532563,0,1
222622640,0,1
21111883,0,1
1249693405,1,1
3472594037,1,1
101695592,0,1
777000000000000000,0,1
1104552637,0,1
207247991,0,1
82066670,0,1
30268626,0,1
31127587,0,1
775000000000000000,1,1
834167000000000000,1,1
27195114,0,1
2499849926,1,1
103768104,0,1
24946505,0,1
2714673572,1,1
85452649,0,1
4481535434,0,1
258092952,0,1
943358419,1,1
2714207155,1,1
315519939,0,1
22940219,0,1
166739404,0,1
24568975,0,1
862483279,0,1
1360627633,0,1
173460266,1,1
21323153,0,1
2557521,0,1
3105588872,0,1
67761261,0,1
858183698,1,1
96951800,0,1
43393110,1,1
565191043,1,1
2969875259,1,1
234121917,0,1
756000000000000000,0,1
4915905545,1,1
825000000000000000,1,1
2571043022,1,1
705786000000000000,1,1
724027000000000000,1,1
318233704,0,1
3405098242,1,1
20536157,0,1
2565339643,1,1
163425239,1,1
795777000000000000,1,1
723974000000000000,1,1
2629389268,0,1
168837454,0,1
784040629,1,1
204941435,1,1
93023732,0,1
181561712,0,1
840688000000000000,1,1
53471080,0,1
3762458901,1,1
3297340437,1,1
529764127,1,1
854430271,1,1
4438807636,1,1
736498000000000000,1,1
738606434,1,1
2546279960,1,1
391560579,0,1
769629000000000000,1,1
2756371298,1,1
58924265,1,1
542808418,1,1
101311381,0,1
189665290,0,1
92717138,0,1
113419517,0,1
169058185,0,1
3433228216,1,1
764000000000000000,1,1
2857426909,1,1
801419000000000000,1,1
180505807,0,1
843462523,1,1
811000000000000000,1,1
14587132,0,1
3229338322,1,1
18524364,0,1
1183779272,0,1
389576735,0,1
2830252572,0,1
200179075,0,1
15485441,0,1
4728875516,1,1
226956469,0,1
85603854,0,1
47177496,0,1
3496516336,1,1
153130536,0,1
221097446,0,1
261025036,0,1
26565946,0,1
1627734804,0,1
219718241,0,1
20744091,0,1
27260086,0,1
60865434,0,1
2935804025,1,1
2555802726,1,1
169686021,0,1
2716014782,1,1
765576000000000000,1,1
459660480,0,1
767000000000000000,0,1
21447363,0,1
701329000000000000,1,1
721526000000000000,1,1
632775923,0,1
2574905460,1,1
157140968,0,1
102424662,0,1
3020652335,1,1
23151437,0,1
2925761350,1,1
32959253,0,1
25365536,0,1
850755931,1,1
23083404,0,1
836270000000000000,1,1
3020873886,1,1
23617610,0,1
401269376,1,1
236699098,0,1
14230524,0,1
333055559,0,1
123343918,1,1
133880286,0,1
96904590,0,1
768981000000000000,1,1
769248000000000000,1,1
158314798,0,1
3153783803,1,1
116362700,0,1
122555708,0,1
470792609,0,1
498549828,0,1
84279963,0,1
2713738866,1,1
522264595,0,1
82375729,0,1
57113624,0,1
845343720,1,1
2774502312,1,1
800721000000000000,1,1
828977000000000000,0,1
2572483813,1,1
3229574074,1,1
739491000000000000,1,1
